1,-50,0,1.29
1000,-41.12,17.87,1.282
2000,-47,11.87,1.281
3000,-40.32,18.29,1.277
4000,-39.76,18.4,1.31
5000,-42,17.13,1.291
6000,-37.22,20.59,1.317
7000,-42.88,16.45,1.272
8000,-38.92,18.88,1.265
9000,-37.98,19.42,1.278
1e+04,-40.52,17.92,1.306
1.1e+04,-42.64,16.93,1.292
1.2e+04,-39.48,18.86,1.292
1.3e+04,-41.46,17.15,1.554
1.4e+04,-38.04,19.27,1.307
1.5e+04,-40.92,17.27,1.315
1.6e+04,-42.48,16.2,1.463
1.7e+04,-36.34,20.12,1.285
1.8e+04,-39.02,18.69,1.294
1.9e+04,-37.16,20.71,1.312
2e+04,-34.14,20.45,1.333
2.1e+04,-37.62,19.03,1.307
2.2e+04,-34.88,20.38,1.27
2.3e+04,-37.92,18.67,1.294
2.4e+04,-38.8,18.24,1.309
2.5e+04,-36.08,19.52,1.322
2.6e+04,-37.34,19.47,1.31
2.7e+04,-34.78,19.81,1.286
2.8e+04,-35.66,19.47,1.28
2.9e+04,-32.2,20.51,1.3
3e+04,-35.68,18.67,1.318
3.1e+04,-35.1,20.2,1.318
3.2e+04,-32.88,19.73,1.318
3.3e+04,-35.44,18.97,1.342
3.4e+04,-36.04,18.89,1.305
3.5e+04,-30.94,18.78,1.319
3.6e+04,-31.48,19.2,1.288
3.7e+04,-31.2,20.12,1.264
3.8e+04,-28.36,19.82,1.276
3.9e+04,-32.7,19.59,1.286
4e+04,-29.52,17.92,1.279
4.1e+04,-28.82,17.77,1.31
4.2e+04,-27.58,17.55,1.33
4.3e+04,-28.06,19.83,1.3
4.4e+04,-30.9,17.33,1.303
4.5e+04,-32.06,19.42,1.274
4.6e+04,-34.46,19.67,1.251
4.7e+04,-30.74,19.11,1.313
4.8e+04,-24.96,15.75,1.303
4.9e+04,-28.34,17.79,1.293
5e+04,-27.46,17.32,1.283
5.1e+04,-24.52,16.56,1.28
5.2e+04,-24.4,18.18,1.294
5.3e+04,-27.42,18.48,1.301
5.4e+04,-27.44,14.12,1.277
5.5e+04,-26.9,16.59,1.306
5.6e+04,-25.2,15.79,1.311
5.7e+04,-26.34,16.46,1.33
5.8e+04,-26.8,14.57,1.268
5.9e+04,-28.12,15.7,1.3
6e+04,-23.62,15.99,1.287
6.1e+04,-22.38,16.88,1.784
6.2e+04,-23.74,14.42,1.294
6.3e+04,-24.32,14.29,1.303
6.4e+04,-24.96,15.5,1.329
6.5e+04,-25.5,11.83,1.427
6.6e+04,-24.9,14.88,1.302
6.7e+04,-32.64,14.09,1.31
6.8e+04,-25.18,15.45,1.307
6.9e+04,-24.3,14.04,1.316
7e+04,-27.96,14.5,1.31
7.1e+04,-24.6,15.2,1.33
7.2e+04,-23.5,13.8,1.309
