0,1,2,3,4,5,6,7,8,9
0.0788151,0.04233774,0.041474286,-0.006415342,-0.16059832,0.007853048,0.01386751,0.09566741,0.027517593,0.01603171
0.078816056,0.042576175,0.04239365,-0.0065845624,-0.17026567,0.008771459,0.01731595,0.12492305,0.044107378,0.029268317
0.0788168,0.042785134,0.04320331,-0.006733712,-0.17886226,0.009597527,0.020472638,0.15184622,0.059629556,0.041734736
0.078817375,0.042964406,0.043901283,-0.006862338,-0.1863338,0.010322449,0.023284312,0.17593352,0.073708445,0.05310298
0.07881764,0.04311373,0.0444858,-0.0069702463,-0.19263344,0.010938381,0.025703669,0.19673501,0.08600328,0.0630738
0.07881768,0.043233264,0.044955034,-0.007056979,-0.19772127,0.011439132,0.027689945,0.21386255,0.09621652,0.07138491
0.07881759,0.043323025,0.045307986,-0.0071221837,-0.20156527,0.011819325,0.029209603,0.22699621,0.10410082,0.077817455
0.07881749,0.043382924,0.045543604,-0.0071657384,-0.20414121,0.012074715,0.030237272,0.23589094,0.109465495,0.0822022
0.078817375,0.043412898,0.045661613,-0.007187558,-0.20543355,0.012203058,0.03075551,0.24038011,0.11218072,0.084423676
0.07881225,-0.005915424,0.083773,0.028238747,-0.065782554,-0.007950314,0.12968516,-0.1636067,0.0024597072,-0.09397399
0.07881122,-0.009929036,0.086266324,0.030734237,-0.055833258,-0.008823924,0.12797476,-0.1649324,0.0034876063,-0.08473063
0.078810014,-0.013935576,0.08853615,0.03313641,-0.04553312,-0.009604705,0.12410778,-0.16317797,0.00443106,-0.07325782
0.07880916,-0.017932413,0.09057683,0.03543795,-0.034946565,-0.010284503,0.11814958,-0.15837623,0.0052670636,-0.05985747
0.07880822,-0.02191675,0.09238305,0.037631806,-0.024140093,-0.01085605,0.110200465,-0.15061732,0.0059754625,-0.04488207
0.07880735,-0.025886044,0.09395048,0.03971134,-0.0131816,-0.011313226,0.10039461,-0.14004558,0.0065392703,-0.028725494
0.07880683,-0.029837448,0.09527504,0.041670438,-0.0021398936,-0.011651335,0.088897176,-0.12685856,0.006945077,-0.01181283
0.07881403,0.042070072,0.040447634,-0.006226617,-0.14992084,0.006851896,0.010185409,0.064625174,0.010261762,0.0023733063
0.07881316,-0.0018975654,0.081062905,0.025657382,-0.07531791,-0.0069928835,0.12921077,-0.15922546,0.0013725103,-0.10074444
0.0788069,-0.03376831,0.09635333,0.043503147,0.008915546,-0.011866396,0.07590145,-0.11130251,0.007182889,0.005410721
0.07881338,0.041773286,0.03931631,-0.006019009,-0.13830055,0.005778446,0.0063316547,0.032376036,-0.0072424947,-0.011347587
0.07881371,0.037893426,0.043838516,-0.003051219,-0.13646017,0.0046759904,0.023067899,0.010024566,-0.00710013,-0.0282745
0.078813985,0.033987407,0.04824745,-7.421041e-05,-0.13376167,0.0035242306,0.039415672,-0.012514205,-0.0067860866,-0.04445754
0.07881476,0.030058058,0.052531645,0.0029030782,-0.13022175,0.0023354627,0.055099364,-0.034819294,-0.006308023,-0.059470616
0.07881514,0.02610767,0.056680057,0.0058714817,-0.12586294,0.0011220817,0.0698544,-0.056474514,-0.005677163,-0.072918884
0.078815214,0.022139052,0.060681902,0.008822193,-0.12071237,-0.00010339392,0.08343266,-0.07707492,-0.004908985,-0.08444838
0.07881565,0.018155253,0.06452674,0.01174615,-0.114802435,-0.0013279547,0.09560504,-0.09623655,-0.004022099,-0.09375554
0.07881565,0.014158919,0.06820445,0.014634502,-0.10817021,-0.0025386135,0.10616635,-0.113600716,-0.0030377407,-0.10059557
0.07881547,0.010152595,0.07170566,0.017478278,-0.10085762,-0.0037228225,0.114939,-0.12884328,-0.0019801222,-0.10478847
0.07881491,0.0061391806,0.075021476,0.02026898,-0.092910804,-0.0048678056,0.12177477,-0.14167982,-0.0008745663,-0.106223874
0.078814186,0.0021215377,0.07814324,0.022998119,-0.08437968,-0.0059617655,0.12655887,-0.15187065,0.0002521157,-0.1048639
0.07881107,-0.06460218,0.064605616,0.03535794,0.048434623,0.09690344,0.016236195,-0.039474417,0.011905167,0.17488873
0.078810394,-0.06150294,0.0706922,0.03780606,0.04800885,0.08027912,0.019540532,-0.044063378,0.011717541,0.16403064
0.07880995,-0.058361173,0.07659588,0.04013947,0.04728117,0.06280883,0.022515593,-0.04782942,0.011246415,0.14885622
0.07880696,-0.03767579,0.097182415,0.045203634,0.019914765,-0.011956361,0.061626844,-0.09366817,0.0072467267,0.022491941
0.07881273,0.04532741,0.03356105,-0.008761035,-0.12765086,0.005746566,-0.0143652465,0.021873206,-0.024713924,-0.007843006
0.07881183,-0.067656346,0.058351684,0.032802474,0.048555877,0.11250608,0.012658184,-0.034148593,0.011804732,0.18114457
0.07880919,-0.05517852,0.08230148,0.04235072,0.04625586,0.04467621,0.025111124,-0.050702248,0.010503202,0.12976481
0.078807004,-0.041557133,0.09776015,0.04676678,0.03078872,-0.011920076,0.046313945,-0.07428444,0.0071351836,0.03898139
0.07881205,0.048850004,0.027718982,-0.011476394,-0.11619841,0.0056545786,-0.03482033,0.010962235,-0.041587014,-0.0041320506
0.07880706,0.070047185,0.0086392425,-0.085072614,-0.0069798096,0.0026290608,-0.09990964,-0.034778938,-0.17234276,0.026674675
0.078806914,0.0711269,0.0093811955,-0.09487734,0.0030148001,0.002160679,-0.09235229,-0.03278761,-0.17162059,0.027142122
0.07880672,0.07215708,0.010099045,-0.1043938,0.012990387,0.0016697752,-0.08323872,-0.030183489,-0.1667444,0.026895424
0.07880667,0.073137216,0.0107907,-0.113593236,0.022884147,0.001160956,-0.07272254,-0.027015558,-0.1578321,0.025940968
0.078806646,0.07406675,0.01145443,-0.12244743,0.03263422,0.0006399245,-0.060980994,-0.023343116,-0.14510001,0.0243041
0.07881562,-0.09279791,-0.0026735633,0.006338913,0.036439802,0.18462178,-0.021229234,0.0276481,0.00044664234,0.043557998
0.07881549,-0.09023673,0.0043185027,0.009480469,0.03886825,0.18381672,-0.018101031,0.021118015,0.0022862726,0.0716762
0.07881528,-0.08761307,0.011299533,0.012593427,0.041052427,0.18107371,-0.014667712,0.014193713,0.0040705847,0.09790834
0.07881257,-0.07066377,0.05194703,0.03014736,0.048371848,0.12692285,0.008866973,-0.028185055,0.011418954,0.18263413
0.078808606,-0.05195752,0.087794036,0.044433396,0.044939507,0.026072798,0.027283704,-0.052628096,0.009505725,0.107258506
0.07880804,-0.048700407,0.09305971,0.046381157,0.043340623,0.0071951533,0.028996633,-0.053571038,0.008278391,0.08192977
0.078807406,-0.045409583,0.09808498,0.048187926,0.041469224,-0.011758135,0.030220743,-0.053513695,0.0068509923,0.054445073
0.07881145,0.05233881,0.02180525,-0.014156797,-0.10401517,0.0055030216,-0.05468863,-0.00015326512,-0.057453673,-0.00031252764
0.078807585,0.068919,0.007874965,-0.07500922,-0.016930964,0.0030700294,-0.10578351,-0.036121048,-0.16889362,0.025505336
0.078807,0.07494516,0.012088236,-0.13092963,0.04217917,0.00011218986,-0.048211865,-0.019234756,-0.12885536,0.022027617
0.07881583,-0.09529481,-0.009658816,0.0031780053,0.033781923,0.18348077,-0.023999697,0.03366178,-0.0014039233,0.014293699
0.07881496,-0.084928915,0.018251186,0.015668103,0.04297826,0.17642264,-0.010987091,0.007004757,0.005756477,0.12156402
0.07881299,-0.07362279,0.045408152,0.027400518,0.047883637,0.14000186,0.004926401,-0.0216954,0.010756848,0.1793175
0.078806795,-0.04593982,0.10318127,0.051269483,0.050017163,-0.030425554,0.014842368,-0.031686023,0.0049734735,0.040991426
0.078810915,0.055791453,0.01583509,-0.016794244,-0.09117796,0.005293119,-0.073635496,-0.011265733,-0.071929716,0.0035153015
