0,1,2,3,4,5,6,7,8,9
-0.30744484,-0.45928603,0.4416397,0.38288435,-0.38320088,-0.31165445,0.21913835,-0.27724466,-0.20269632,0.11892312
-0.30774757,-0.45843774,0.43994057,0.37981397,-0.37844953,-0.30568954,0.21295246,-0.2682173,-0.1943855,0.11368487
-0.30758178,-0.45815825,0.437809,0.3751928,-0.3705614,-0.2954232,0.20210418,-0.25050047,-0.17773123,0.10219105
-0.3072949,-0.45793474,0.43559775,0.37036264,-0.36191332,-0.284266,0.1899234,-0.22985204,-0.15782098,0.08774074
-0.30707732,-0.4466545,0.37841156,0.2531354,-0.17572361,-0.044886697,-0.05664841,0.15363193,0.2022043,-0.1588578
-0.30768177,-0.44577783,0.37404224,0.24407466,-0.16388607,-0.028871609,-0.07048636,0.17561401,0.22099459,-0.16854906
-0.30770874,-0.44367492,0.36623964,0.22932649,-0.1423386,-0.0014529787,-0.096533954,0.21119931,0.25168425,-0.18621619
-0.30915278,-0.43975502,0.35921362,0.21786098,-0.12579733,0.016131632,-0.11221645,0.23167376,0.26587483,-0.1923827
-0.3074492,-0.3993222,0.21536572,-0.030179331,0.22240305,0.3422784,-0.31725675,0.41267708,0.22144373,-0.043256517
-0.30802438,-0.39642346,0.20842968,-0.0400268,0.23353374,0.34945077,-0.31774735,0.4069309,0.20959704,-0.03344211
-0.3076653,-0.39469033,0.2011603,-0.051164612,0.24535957,0.3549175,-0.3130275,0.39235774,0.19176203,-0.022760496
-0.30931485,-0.38934702,0.19226849,-0.062838025,0.25695658,0.3582921,-0.30587342,0.37191257,0.16937219,-0.009959921
-0.30977196,-0.35096335,0.06705888,-0.23098467,0.40101603,0.3630358,-0.14882699,0.030153671,-0.16573265,0.1498285
-0.308986,-0.3482033,0.05465024,-0.24618101,0.41079837,0.35710588,-0.12851003,-0.006253329,-0.1944457,0.16020957
-0.30917493,-0.3450364,0.045428634,-0.25676638,0.41706863,0.35166785,-0.11351894,-0.032537613,-0.21370989,0.16595203
-0.30916235,-0.34520364,0.044396933,-0.25946486,0.42090517,0.35488132,-0.11246735,-0.03871035,-0.22293352,0.17266303
-0.30785206,-0.458686,0.44139057,0.3830478,-0.38417327,-0.31281084,0.22024566,-0.2797506,-0.20421073,0.11938498
-0.30775553,-0.45818025,0.44017482,0.38080734,-0.37966293,-0.30774447,0.2145505,-0.27058652,-0.19611304,0.1137073
-0.30766004,-0.4580438,0.43758705,0.37494156,-0.37045196,-0.29506785,0.20151561,-0.24934506,-0.17563944,0.09979411
-0.30633634,-0.4587947,0.43175453,0.36114538,-0.34727415,-0.26530898,0.17134449,-0.19977768,-0.13037725,0.06926877
-0.30619058,-0.45295703,0.4078239,0.3138888,-0.27141953,-0.16888383,0.07007305,-0.04470417,0.017597534,-0.03476256
