0,1,2,3,4,5,6,7,8,9
0.009320155,0.01111985,0.65424955,0.027658477,-0.14754465,-0.72203875,-0.26128688,0.48200756,0.05959644,-0.030927107
0.0118917525,0.011648506,0.6491103,0.028389461,-0.14158419,-0.71065974,-0.2448574,0.48107207,0.05667014,-0.031307578
0.017216116,0.011168122,0.6372248,0.029809877,-0.12856889,-0.6877425,-0.20736313,0.47534353,0.051269032,-0.03012389
0.02279111,0.010718044,0.6243752,0.030895934,-0.11430109,-0.66402435,-0.16476981,0.46851328,0.045781218,-0.028744936
0.12115662,0.00014903955,0.41328293,0.060015194,0.098003075,-0.2878677,0.4719644,0.36569983,-0.031151645,-0.009434849
0.13050851,-7.6653436e-05,0.39502802,0.063985884,0.11516236,-0.2480137,0.51520324,0.36038205,-0.03779254,-0.0069322437
0.13928723,5.853921e-05,0.37798503,0.06820925,0.1303598,-0.21114317,0.5517492,0.35757872,-0.044217557,-0.005121827
0.14757378,-0.00073864125,0.36364812,0.07214376,0.14029834,-0.17826661,0.5646959,0.3574132,-0.047380395,-0.0023447499
0.2706372,-0.007996172,0.21308488,0.14262372,0.23959886,0.31082004,0.50523037,0.4127683,-0.09576082,0.02328454
0.27839988,-0.01126479,0.21052876,0.14333552,0.24096793,0.32991022,0.48444104,0.41290495,-0.0949082,0.02563928
0.28774178,-0.016161788,0.20997298,0.1413852,0.23993206,0.34912643,0.44914776,0.4095476,-0.09168902,0.028856881
0.29819712,-0.021250151,0.2097453,0.1381917,0.23605542,0.3674513,0.4019374,0.4067409,-0.0869139,0.032970324
0.42154536,-0.10075776,0.23741654,0.078140944,0.16994,0.52255654,-0.20369384,0.34602726,-0.009305537,0.09054442
0.4324727,-0.11061138,0.24820408,0.07337986,0.16639702,0.53396034,-0.25169393,0.33242095,-0.0012815222,0.092915356
0.44028684,-0.11495247,0.25089338,0.06740193,0.16345094,0.5393857,-0.28033423,0.32386908,0.0046192184,0.09548922
0.4449749,-0.11743904,0.2537807,0.06448686,0.16137782,0.542771,-0.29987508,0.3192767,0.008093223,0.09624492
0.0068053156,0.0113375075,0.6579074,0.027414434,-0.150051,-0.7270696,-0.27065378,0.48394102,0.06073075,-0.032216713
0.009149522,0.011557225,0.6528182,0.027409256,-0.14455038,-0.7181124,-0.25256643,0.4813335,0.058466326,-0.031744123
0.016126849,0.011068255,0.6390543,0.029357836,-0.13159865,-0.69518,-0.21170269,0.47476193,0.053533707,-0.03075096
0.027894258,0.010430925,0.6116767,0.0329329,-0.10339263,-0.64619845,-0.12538415,0.4613161,0.04243987,-0.029012248
0.06911301,0.006325066,0.5251286,0.04481966,-0.015207119,-0.49212447,0.13782495,0.41858095,0.009606637,-0.021962658
0.11210034,0.0001935307,0.4322198,0.05921197,0.078045025,-0.31991586,0.41049477,0.37587214,-0.025207594,-0.012807608
0.1314929,-3.9974228e-05,0.39349496,0.06554002,0.11530912,-0.2444106,0.51298344,0.3624586,-0.03840393,-0.008300841
0.14297485,-0.0008387193,0.3724103,0.06975229,0.1333394,-0.19916019,0.5491548,0.35965317,-0.045874514,-0.0060424656
0.15396023,-0.0016455203,0.35600495,0.074420676,0.14653462,-0.15578803,0.5665276,0.35912514,-0.05129892,-0.003158033
0.26476693,-0.007615667,0.2191844,0.13987681,0.2358609,0.28977272,0.51058024,0.4107657,-0.09485668,0.021518137
0.27371562,-0.01126828,0.21578397,0.14028567,0.23777011,0.31222156,0.48788348,0.41025618,-0.09357789,0.02454669
0.28612113,-0.0167076,0.21385953,0.13895878,0.23590986,0.33833638,0.44159532,0.4084292,-0.08957112,0.029027022
0.30974165,-0.02962942,0.21549703,0.13288808,0.22794421,0.37764797,0.34381872,0.39935333,-0.07728121,0.038622178
0.3615343,-0.062384292,0.22374502,0.11418423,0.20255432,0.45421076,0.09544538,0.38223517,-0.049279258,0.061681908
0.41640782,-0.09772782,0.23982804,0.082456574,0.17536178,0.5145575,-0.1660852,0.3450526,-0.013577111,0.085625485
0.43182984,-0.10946728,0.24872354,0.06921776,0.16702048,0.52685225,-0.24448074,0.32675987,-0.0006736219,0.09152719
0.4413746,-0.11584289,0.25200734,0.05889103,0.1630623,0.5317761,-0.2810234,0.31307784,0.008175522,0.09610522
0.4454252,-0.118239656,0.2544119,0.055889517,0.16070141,0.5347797,-0.30035064,0.30934715,0.011680841,0.09731448
0.0050912052,0.011336025,0.660916,0.026378274,-0.15285148,-0.7326883,-0.28050444,0.48570877,0.061666697,-0.0326124
0.007114224,0.011767615,0.6570748,0.025814109,-0.14876394,-0.72582066,-0.2678429,0.48441428,0.060043752,-0.032140523
0.010260746,0.011255946,0.6499672,0.025727995,-0.14107832,-0.71419233,-0.24456923,0.4796971,0.05823647,-0.031204373
0.011974558,0.011170793,0.6465835,0.025815189,-0.13682637,-0.7064473,-0.22905926,0.47645038,0.05635886,-0.030046314
0.12667373,0.00033948012,0.40178967,0.062254615,0.10710833,-0.2662433,0.4933438,0.36466882,-0.034595102,-0.010165945
0.13515009,-0.0003407169,0.38483346,0.068567246,0.123243265,-0.22494236,0.5295112,0.36173332,-0.041732553,-0.007846445
0.14559892,-0.00095849484,0.36593908,0.073023506,0.13785462,-0.18109435,0.55137736,0.36112827,-0.04694084,-0.0050887764
0.16642739,-0.0007869657,0.33730033,0.08156417,0.15821275,-0.102438964,0.56348646,0.36538133,-0.055762812,-0.0011920631
0.21127553,-0.002716694,0.28316522,0.10684928,0.19367376,0.07663213,0.544891,0.3850334,-0.07493341,0.009561114
0.24724,-0.008091707,0.24262208,0.12868805,0.2214165,0.21671766,0.52006596,0.40020025,-0.08525294,0.0187729
0.2676831,-0.011080794,0.22238067,0.13677858,0.2341546,0.29232174,0.49313512,0.40685797,-0.09103346,0.02384866
0.28125638,-0.014431365,0.21378675,0.13698241,0.23449281,0.3274685,0.45246163,0.40893367,-0.08909385,0.02917901
0.2933785,-0.019999836,0.21239461,0.13756017,0.2344588,0.35320237,0.41666874,0.406466,-0.086149484,0.03282374
0.4337249,-0.11071749,0.2499949,0.070657134,0.16712025,0.5360985,-0.25636488,0.3275223,0.0001000613,0.092441246
0.43992084,-0.11460837,0.2543124,0.056101173,0.163622,0.53006715,-0.28071234,0.30890766,0.010696679,0.096323684
0.4465134,-0.11948969,0.25841802,0.04038976,0.16100264,0.52176416,-0.29981863,0.28756636,0.019797526,0.098947704
0.4492159,-0.123277955,0.25776947,0.049554408,0.15985233,0.53278047,-0.30956313,0.29832834,0.016112007,0.09985763
0.004628822,0.01109368,0.6615983,0.02461005,-0.15480581,-0.7372904,-0.28853777,0.4874657,0.06234635,-0.03225039
0.006629005,0.011506449,0.65793777,0.02404353,-0.15091726,-0.73065454,-0.27615997,0.48608047,0.06070118,-0.031690255
0.008733168,0.011836313,0.65422434,0.025962844,-0.1474838,-0.7231171,-0.26246697,0.4833584,0.060422003,-0.032057807
0.010037139,0.011751596,0.65265656,0.026535884,-0.14535896,-0.7175998,-0.2513301,0.48006058,0.058868833,-0.03081362
0.13413498,-0.0014046393,0.38497877,0.06695665,0.12403273,-0.23330891,0.5385754,0.35916266,-0.04101359,-0.00851582
0.13685194,-0.0015120097,0.3805678,0.06865246,0.12757125,-0.22234625,0.5438304,0.35903177,-0.043040358,-0.0077049583
0.14684671,-0.0017204434,0.36621797,0.073747635,0.1395207,-0.18148068,0.5586556,0.36018336,-0.0485422,-0.006214604
0.15588279,-0.0024362393,0.35388637,0.07622192,0.14871386,-0.14754733,0.5659648,0.35983673,-0.05255691,-0.0039161146
0.25931716,-0.007736847,0.2262778,0.13535298,0.2306348,0.26733026,0.5121574,0.4062629,-0.090130344,0.021701615
0.26995158,-0.010190316,0.21805678,0.13696009,0.23406054,0.29729706,0.49238035,0.40879413,-0.091064885,0.02504002
0.2814586,-0.014321018,0.21443716,0.13799532,0.23456867,0.32524976,0.45871705,0.4094718,-0.088995144,0.029195707
0.2872879,-0.017003454,0.2118609,0.13864355,0.23548695,0.34352237,0.43869495,0.40893468,-0.087706745,0.031936496
0.4417109,-0.11667511,0.25413477,0.058786705,0.16248555,0.53790414,-0.2932238,0.31350374,0.008323982,0.096056476
0.44446844,-0.11823778,0.25798404,0.04462026,0.16227044,0.52509356,-0.2955746,0.29269797,0.016663983,0.09748918
0.4488531,-0.11928107,0.26854733,0.0052801818,0.16314963,0.49452752,-0.3015736,0.23863074,0.037079945,0.10072023
0.45325842,-0.123479456,0.26303738,0.032973975,0.16105881,0.5226183,-0.31463078,0.27354205,0.024483562,0.100001395
0.45470655,-0.11821234,0.28998795,-0.13648099,0.16242088,0.36403984,-0.2852133,0.058122724,0.1075729,0.11489442
0.4396332,-0.1222884,-0.4984441,-0.0002791956,0.15114294,-0.27588183,-0.07333582,0.23609735,0.19267419,-0.37034017
0.4403524,-0.11663435,-0.49232304,0.0009859353,0.141113,-0.27350223,-0.069302194,0.22973172,0.18898419,-0.3607285
0.4482692,-0.10987438,-0.48473826,0.0016269162,0.12759273,-0.2730519,-0.0642691,0.22020623,0.17457667,-0.3484238
0.45672047,-0.10646244,-0.47954032,0.0044401065,0.114057556,-0.27577055,-0.058117926,0.20613068,0.15879625,-0.33668083
0.6058327,-0.018804494,-0.3608209,0.016803212,-0.11543262,-0.30487075,0.04625821,-0.01097995,-0.14442192,-0.09168056
0.61055434,-0.007502541,-0.35098773,0.018174931,-0.1317314,-0.3026867,0.052119046,-0.022041038,-0.15978411,-0.07205561
0.61308926,0.004336696,-0.3418716,0.019473247,-0.1456609,-0.2996899,0.056431577,-0.030135356,-0.17210709,-0.053499788
0.6120825,0.015999824,-0.3353017,0.023340873,-0.1572886,-0.29640114,0.058339387,-0.03618551,-0.17845875,-0.038237095
0.4544049,0.39657873,-0.15754321,0.097131714,-0.3768115,-0.12371888,0.039137088,-0.034121953,-0.18749645,0.3433796
0.44742525,0.40987927,-0.15141973,0.10002344,-0.38334718,-0.117312625,0.03846937,-0.033432066,-0.18701881,0.35833463
0.43998307,0.4201445,-0.14685635,0.101066515,-0.38598266,-0.11124328,0.03659375,-0.029324971,-0.18410605,0.36870778
0.43347722,0.42819107,-0.14404531,0.103622004,-0.38855317,-0.10751363,0.034529448,-0.028163582,-0.1837159,0.37959287
0.4491483,-0.10076038,0.3281567,-0.34753534,0.1679183,0.16453642,-0.23755226,-0.21043508,0.20678186,0.124395475
0.44956422,-0.09869416,0.32046646,-0.33536112,0.16755067,0.17418367,-0.2338299,-0.19130194,0.2012495,0.1247371
0.45768324,-0.110116825,0.3156227,-0.27015668,0.16668591,0.24123433,-0.25939843,-0.11735484,0.17145878,0.12041328
0.4596877,-0.11398634,0.3222242,-0.29940724,0.16666512,0.21442088,-0.25493985,-0.15799272,0.18708159,0.12500149
0.43300313,-0.11675569,-0.49488264,0.0012400001,0.14788152,-0.27095452,-0.072489604,0.2379789,0.20330541,-0.36794567
0.43254593,-0.11103867,-0.4887313,0.0016274005,0.13849686,-0.26785216,-0.06871544,0.23284054,0.2010334,-0.35933
0.43966693,-0.10216403,-0.48007423,0.0029382855,0.12292838,-0.2665894,-0.06288906,0.2218124,0.18673179,-0.34495506
0.4653374,-0.09247347,-0.46342307,0.005635321,0.08869396,-0.27421236,-0.046142865,0.18614535,0.13765612,-0.30915388
0.5263382,-0.06131024,-0.41885927,0.01131659,0.00087136775,-0.28765213,-0.007479299,0.101508036,0.013154805,-0.21084744
0.5878459,-0.02277001,-0.37254927,0.019355573,-0.09573828,-0.3000619,0.034533568,0.009975076,-0.110700466,-0.11466555
0.6068001,-0.0046720915,-0.35140374,0.019154541,-0.13010521,-0.3008288,0.049417723,-0.018075898,-0.15525588,-0.07255015
0.6056937,0.020844895,-0.33442754,0.023582347,-0.1555397,-0.2924656,0.055080336,-0.030700043,-0.1732211,-0.03551835
0.6017576,0.042010143,-0.3219124,0.026866011,-0.17260532,-0.2841653,0.057537258,-0.035646424,-0.18001527,-0.011246383
0.4569006,0.3735778,-0.16993576,0.09301015,-0.3572703,-0.132518,0.03663739,-0.02891428,-0.18474913,0.3260868
0.44129598,0.3956545,-0.15614453,0.093820736,-0.36646914,-0.11949522,0.036527112,-0.024330087,-0.1789357,0.3545489
0.4285097,0.41067398,-0.15123025,0.09899719,-0.37114352,-0.112462536,0.032538205,-0.022268705,-0.17803887,0.37526697
0.42136768,0.4222018,-0.14636281,0.10102381,-0.37583995,-0.10673366,0.030969871,-0.020503238,-0.17675409,0.38728106
0.44345728,-0.090369105,0.32671738,-0.3684663,0.16935718,0.14503133,-0.22210005,-0.22964504,0.21508491,0.12371175
0.44428834,-0.08967741,0.32147163,-0.3576365,0.16885108,0.15259583,-0.22324502,-0.2128469,0.20833907,0.122956455
0.45191634,-0.10092674,0.32268995,-0.3346246,0.16844392,0.17808385,-0.2366337,-0.19326,0.20007588,0.12375021
0.45235944,-0.104917035,0.32695064,-0.3319789,0.16691256,0.17904907,-0.24375805,-0.19275814,0.19963098,0.123377115
0.4241277,-0.11232583,-0.4912201,0.0013868213,0.14572133,-0.26440805,-0.07284572,0.24269065,0.21716735,-0.36707985
0.41930068,-0.10320985,-0.4833276,0.0024726242,0.13403088,-0.2582776,-0.06893079,0.23851806,0.22013701,-0.35743198
0.41103607,-0.089144975,-0.47040883,0.007257201,0.1173293,-0.24730083,-0.061929278,0.23381107,0.23410712,-0.343443
0.4329477,-0.09239282,-0.47018284,0.0057259575,0.10966456,-0.25860906,-0.057834353,0.21842544,0.19723815,-0.3349163
0.6081118,-0.010923311,-0.35541922,0.018874273,-0.1259729,-0.30458677,0.049753096,-0.01927311,-0.15303388,-0.080580086
0.61052465,0.0032190643,-0.34391758,0.020290121,-0.14323187,-0.30125332,0.055846635,-0.030915357,-0.16956186,-0.055051923
0.6037388,0.033039864,-0.3278207,0.025991246,-0.16610453,-0.2892176,0.057407945,-0.036545448,-0.17840241,-0.021856308
0.5831495,0.08894095,-0.30060625,0.036134087,-0.19974177,-0.2650942,0.05618389,-0.03929016,-0.18607694,0.038820237
0.53039974,0.19727036,-0.2487977,0.05806495,-0.2594733,-0.21266362,0.049236774,-0.034119144,-0.18202168,0.15428104
0.46392,0.32895115,-0.18836156,0.08267775,-0.32666254,-0.14911291,0.039335176,-0.026085228,-0.17877914,0.2954036
0.43281358,0.377479,-0.1658904,0.09120822,-0.34665012,-0.1247447,0.033215508,-0.01819545,-0.1711863,0.34991515
0.40015408,0.4031825,-0.15288138,0.09379944,-0.3468788,-0.10763648,0.025794378,-0.0051416606,-0.15961173,0.39498228
