1,-43.02,16.07,1.953
1000,-48.3,8.334,1.869
2000,-47.22,11.02,1.914
3000,-41.04,18,1.916
4000,-43.02,16.09,1.873
5000,-45.48,13.59,1.868
6000,-36.46,20.74,1.895
7000,-38.76,19.07,1.944
8000,-42.88,16.4,1.913
9000,-37.82,20.6,1.916
1e+04,-41.2,17.64,1.861
1.1e+04,-40.18,18.57,1.913
1.2e+04,-37.24,19.59,1.884
1.3e+04,-40.34,18.29,1.921
1.4e+04,-42.86,16.45,1.911
1.5e+04,-42.52,16.05,1.879
1.6e+04,-39.68,18.52,1.926
1.7e+04,-38.52,18.59,1.923
1.8e+04,-37.02,19.23,1.924
1.9e+04,-36.3,18.74,1.917
2e+04,-37.14,18.98,1.909
2.1e+04,-31.36,20.62,1.924
2.2e+04,-28.68,17.39,1.905
2.3e+04,-32.78,20.23,1.919
2.4e+04,-31.2,20.7,1.888
2.5e+04,-31.58,19.13,1.912
2.6e+04,-35.26,17.97,1.881
2.7e+04,-35.4,18.12,1.871
2.8e+04,-34.86,18.82,1.887
2.9e+04,-34.72,19.15,1.846
3e+04,-31.2,18.61,1.905
3.1e+04,-29.52,16.59,1.95
3.2e+04,-34.82,17.45,1.915
3.3e+04,-31.08,20.27,1.895
3.4e+04,-27.72,18.12,1.883
3.5e+04,-30.34,18.81,1.913
3.6e+04,-27.22,19.44,1.937
3.7e+04,-28.04,18.27,1.925
3.8e+04,-30.06,17.17,1.953
3.9e+04,-29.44,15.51,1.902
4e+04,-30.78,18.54,1.896
4.1e+04,-29.16,17.73,1.89
4.2e+04,-26.98,17.22,1.915
4.3e+04,-24.56,15.24,1.903
4.4e+04,-28.44,14.2,1.929
4.5e+04,-22.66,13.55,1.929
4.6e+04,-29.12,15.5,1.94
4.7e+04,-24.8,15.67,1.863
4.8e+04,-24.3,16.04,1.912
4.9e+04,-24.22,15.89,1.929
5e+04,-26.84,16.37,1.937
5.1e+04,-27.04,16.43,1.94
5.2e+04,-26.82,13.61,1.91
5.3e+04,-25.7,16.32,1.884
5.4e+04,-21.86,16.1,1.923
5.5e+04,-27.8,16.29,1.946
5.6e+04,-23.62,14.55,2.296
5.7e+04,-27.18,14.8,1.878
5.8e+04,-24.26,15.35,1.896
5.9e+04,-27.32,13.84,1.922
6e+04,-24.34,14.52,1.884
6.1e+04,-26.16,14.5,1.903
6.2e+04,-28.02,14.93,1.925
6.3e+04,-25.64,14.66,1.895
6.4e+04,-25.24,12.43,1.916
6.5e+04,-25.9,14.85,1.899
6.6e+04,-22.54,15.25,1.897
6.7e+04,-25.24,13.75,1.927
6.8e+04,-25.52,14.35,1.889
6.9e+04,-23.76,14.6,1.921
7e+04,-25.08,15.38,1.924
7.1e+04,-22.08,15.74,1.933
7.2e+04,-21.9,14.08,1.907
7.3e+04,-25.86,14.95,1.909
7.4e+04,-22.6,13.13,1.937
7.5e+04,-27.36,13.67,1.91
7.6e+04,-22.5,12.86,1.872
7.7e+04,-22.32,14.73,1.935
7.8e+04,-26.3,13.67,1.937
7.9e+04,-26.56,16.23,1.92
8e+04,-26.92,14.6,1.954
8.1e+04,-24.82,14.25,1.893
8.2e+04,-25.64,13.99,1.91
8.3e+04,-27.06,16.15,1.932
8.4e+04,-25.9,15.45,1.915
8.5e+04,-24.18,14.74,1.916
8.6e+04,-23.52,14.2,1.92
8.7e+04,-20.66,12.44,1.911
8.8e+04,-26,14.39,1.877
8.9e+04,-24.52,16.57,1.905
9e+04,-25.58,15.51,2.157
9.1e+04,-24.02,14.52,1.934
9.2e+04,-26.14,15.52,1.911
9.3e+04,-25.34,14.21,1.892
9.4e+04,-27.44,14.34,1.897
9.5e+04,-26.28,14.11,1.879
9.6e+04,-28.1,14.35,1.896
9.7e+04,-24.48,12.98,1.922
9.8e+04,-25.92,13.62,1.921
9.9e+04,-25.36,15.61,1.898
1e+05,-20.88,16.03,1.913
1.01e+05,-28.08,14.9,1.947
1.02e+05,-26.74,15,1.907
1.03e+05,-25.74,15.2,1.934
1.04e+05,-26.22,15.28,1.884
1.05e+05,-27.48,13.73,1.924
1.06e+05,-22.68,13.13,1.93
1.07e+05,-25,15.46,1.879
1.08e+05,-20.92,13.29,1.866
1.09e+05,-22.32,13.16,1.883
1.1e+05,-22.9,12.99,1.898
1.11e+05,-28.98,13.85,1.912
1.12e+05,-24.06,13.18,1.908
1.13e+05,-25.78,14.39,1.881
1.14e+05,-26.34,12.89,1.893
1.15e+05,-27.42,13.82,1.901
1.16e+05,-24.36,12.9,1.907
1.17e+05,-27.92,14.81,1.895
1.18e+05,-25.18,15.94,1.898
1.19e+05,-20.98,13.12,1.881
1.2e+05,-26.7,14.98,1.942
1.21e+05,-25.94,12.81,1.897
1.22e+05,-22.72,13.2,1.911
1.23e+05,-24.3,14.88,1.97
1.24e+05,-19.36,14.06,1.929
1.25e+05,-24.4,15.65,1.868
1.26e+05,-23.68,14.31,1.9
1.27e+05,-23,15.3,1.912
1.28e+05,-24.66,14.8,1.89
1.29e+05,-28.1,14.75,1.903
1.3e+05,-27,14.97,1.919
1.31e+05,-27.92,13.07,1.885
1.32e+05,-26.08,14.85,1.921
1.33e+05,-25,11.63,1.907
1.34e+05,-24.62,16.07,1.915
1.35e+05,-27.84,14.91,1.892
1.36e+05,-23.82,13.88,1.892
1.37e+05,-23.74,14.07,1.85
1.38e+05,-24.28,12.28,1.881
1.39e+05,-23.92,16.54,1.918
1.4e+05,-24.96,14.57,1.911
1.41e+05,-23.98,13.65,1.887
1.42e+05,-24.8,14.62,1.882
1.43e+05,-22.64,14.33,1.888
1.44e+05,-28.24,13.05,1.916
1.45e+05,-22.94,15.8,1.908
1.46e+05,-26.58,15.93,1.898
1.47e+05,-25.28,15.3,1.837
1.48e+05,-29.82,14.8,1.859
1.49e+05,-23,15.55,1.85
1.5e+05,-24.64,15.85,1.89
1.51e+05,-23.6,14.99,1.914
1.52e+05,-28.64,15.72,1.885
1.53e+05,-27.26,12.68,1.859
1.54e+05,-24.66,15.63,1.862
1.55e+05,-24.08,16.84,1.859
1.56e+05,-24.7,14.98,1.9
1.57e+05,-27,13.72,2.574
1.58e+05,-25.04,15.31,1.911
1.59e+05,-26.52,13.48,1.917
1.6e+05,-26.46,15.02,1.893
1.61e+05,-27.36,14.61,2.278
1.62e+05,-25.16,12.85,1.914
1.63e+05,-25.14,13.43,1.932
1.64e+05,-27.4,15.48,1.925
1.65e+05,-26.5,14.86,1.879
1.66e+05,-24.84,16.62,1.886
1.67e+05,-24.1,15.09,1.896
1.68e+05,-27.52,14.99,1.872
1.69e+05,-24.64,16,1.912
1.7e+05,-26.94,14.44,1.902
1.71e+05,-23.4,16.29,1.923
1.72e+05,-26.5,13.52,1.9
1.73e+05,-24.7,14.37,1.908
1.74e+05,-26.84,14.5,1.878
